Order,Component,Type
70,彼は国民の幸福を念願した。,sentence
71,痛める,word
72,この写真は心を痛めることなしには見られない。,sentence
73,夷,kanji
74,性質,word
75,あのやり方は私のやり方とは性質が全く違っている。,sentence
76,奴隷,word
77,あなたは習慣の奴隷ですか？,sentence
78,尖,kanji
79,悪魔,word
80,この世に悪魔なんていないよ。,sentence
81,憎む,word
82,そういうわけで、私は彼を死ぬほど憎んでいる。,sentence
83,弛,kanji
84,悲惨,word
85,それは悲惨だな。,sentence
86,掏,kanji
87,掏る,word
88,する,word
89,「彼はもう来ないよ」タバコをすっていた男が言った。,sentence
90,托,kanji
91,情,word
92,彼は情に厚い人だ。,sentence
93,クラスメート,word
94,お客様がたくさんいます。その中で先生のクラスメートと友達が多いです。,sentence
95,旭,kanji
96,感心,word
97,あなたがタバコを吸うのは感心しない。,sentence
98,デザート,word
99,あなたのためにデザートを注文した。,sentence
100,曳,kanji
101,慢性,word
102,ここに慢性の痛みがあります。,sentence
103,屈する,word
104,あなたはこれらの要求に屈してはならない。,sentence
105,汐,kanji
106,戸籍,word
107,彼女はまだ夫の戸籍に入っていない。,sentence
108,名古屋,word
109,かつて彼らは名古屋にすんでいた。,sentence
110,汝,kanji
111,手元,word
112,いつでも使えるようにその辞書を手元に置いておきなさい。,sentence
113,取り上げる,word
114,この件は昼食後に再びとり上げよう。,sentence
115,牟,kanji
116,手形,word
117,かぎ,word-reading
118,え、出かける前に、しっかりかぎをかけたんですね。,sentence
119,迂,kanji
120,手間,word
121,お手間をおかけしました。,sentence
122,取り組む,word
123,この問題を別の面から取り組んでみよう。,sentence
124,亨,kanji
125,技師,word
126,その技師はその機械をどう使ったらよいか私達に教えてくれた。,sentence
127,治す,word
128,あなたは風邪を治したほうがいい。,sentence
129,伶,kanji
130,投書,word
131,新聞や雑誌の投書欄を読みます。,sentence
132,溜め息,word
133,「ああ！」と彼女は溜息をつきました。,sentence
134,伽,kanji
135,担任,word
136,このクラスの担任は誰ですか。,sentence
137,折れる,word
138,あなたの指、折れてない？,sentence
139,佃,kanji
140,接する,word
141,このような接し方の変化は、他の変化もそうであるが、他の国においても起こっている。,sentence
142,狼,kanji
143,狼,word
144,あいつは羊の皮をかぶったおおかみだ。,sentence
145,佑,kanji
146,接待,word
147,彼は彼らの受け入れ方接待のしかたが気にいらないのだ。,sentence
148,見回す,word
149,あたりを見回すと、机の上に手紙があるのに気づいた。,sentence
150,冴,kanji
151,救急,word
152,事故があるとすぐに救急医療隊が到着する。,sentence
153,救急車,word
154,もう救急車は呼んであるの？,sentence
155,漏れる,word
156,そのニュースはどうして漏れたのだろう。,sentence
157,吞,kanji
158,新築,word
159,それらの新築の家はみな同じ高さである。,sentence
160,止す,word
161,「あの赤い服を着るのはよしなさい」「なぜいけないの」,sentence
162,吻,kanji
163,新興,word
164,繋がる,word
165,あなたの努力が成功につながった。,sentence
166,孜,kanji
167,日数,word
168,長い日数ではなかったが、そこに滞在された。,sentence
169,ヘレン,sentence-component
170,ジョンはヘレンの保護者のようにふるまっている。,sentence
171,宋,kanji
172,日時,word
173,この件についてさらに話し合うためにお越し頂く日時を決めて下さい。,sentence
174,歩き回る,word
175,あてもなくあちこちを歩き回った。,sentence
176,宏,kanji
177,早める,word
178,その失敗が彼の引退を早めた。,sentence
179,髭,kanji
180,髭,word
181,ひげがなくなった！,sentence
182,巫,kanji
183,昆虫,word
184,クモが昆虫でないというのはよく知られた事実だ。,sentence
185,トマト,word
186,トマトが大嫌い。,sentence
187,庇,kanji
188,明白,word
189,これを貴方が私の為にしたくないのは明白です。,sentence
190,かっと,word
191,あの人すぐカッとなるから、好きじゃない。,sentence
192,李,kanji
193,時折,word
194,そう言う事故は時折起こり得る事だ。,sentence
195,木の葉,word
196,木の葉が地上に落ちた。,sentence
197,杏,kanji
198,最適,word
199,この土地は家を建てるのには最適である。,sentence
200,擦る,word
201,いすで床をこすらないでちょうだい。,sentence
202,杖,kanji
203,校則,word
204,学校当局はその校則を廃止することに決定した。,sentence
205,延ばす,word
206,あなたは出発を延ばしたほうがよい。,sentence
207,杜,kanji
208,機長,word
209,機長よりご挨拶申し上げます。,sentence
210,野生,word
211,「野生の動物はロボットではありません」と彼女は言う。,sentence
212,汲,kanji
213,次元,word
214,「彼氏とかいる？」「いないよ」「好きな人は？」「いない。3次元には興味ないんだ」,sentence
215,陰,word
216,お前がカーテンの陰に隠れてるのは、わかってるんだぞ。,sentence
217,沌,kanji
218,民法,word
219,子犬,word
220,お父さんは誕生日にぼくに小犬をくれた。,sentence
221,灸,kanji
222,気圧,word
223,裂く,word
224,お前に割いてやる時間なんてねえんだよ。,sentence
225,灼,kanji
226,気軽,word
227,どうぞお気軽に。,sentence
228,持ち合わせ,word
229,いくら持ち合わせがありますか。,sentence
230,玖,kanji
231,水曜,word
232,月曜、水曜、金曜と私は１日おきに働いている。,sentence
233,わくわく,word
234,かれらはわくわくするような試合をした。,sentence
235,祁,kanji
236,河口,word
237,御菓子,word
238,いろいろなお菓子があった。,sentence
239,芙,kanji
240,沼,word
241,ここに小さな沼があります。,sentence
242,エスペラント,word
243,いつからエスペラントを学んでいますか。,sentence
244,芦,kanji
245,泥,word
246,その知らせは彼の誠実さに泥を塗る事になろう。,sentence
247,物理学,word
248,彼はいまだかつてないぐらい偉大な物理学者である。,sentence
249,芭,kanji
250,活字,word
251,この大きな活字は眼に楽だ。,sentence
252,諺,kanji
253,諺,word
254,「嘘つきは泥棒の始まり」ということわざを聞いたことある？,sentence
255,芹,kanji
256,海水,word
257,彼らは海水から塩を取る計画を立てた。,sentence
258,目覚める,word
259,「もし疲れているなら寝たらどう？」「僕が今寝たらあまりに早く目覚めてしまうから」,sentence
260,侃,kanji
261,消滅,word
262,その国は消滅した。,sentence
263,クレジットカード,word
264,あなたのクレジットカードはどこにありますか。,sentence
265,侑,kanji
266,滝,word
267,そこですばらしい滝を見た。,sentence
268,状,word
269,本状には微妙な情報が含まれており、気分を害することがあるかもしれない。,sentence
270,函,kanji
271,潜水,word
272,この潜水時計は少し値段が高すぎます。,sentence
273,艦,word
274,潜水艦,word
275,史,word
276,あの人は日本史に詳しそうです。,sentence
277,坦,kanji
278,激動,word
279,17,sentence-component
280,ヘレンは１７歳です。,sentence
281,宕,kanji
282,点数,word
283,「まあ、それでも君よりは、はるかに僕の方が点数高いけどね。」「なんですって！私が本気を出せば、あなたなんて、目じゃないわ！」,sentence
284,扠,kanji
285,扠,word
286,さて、あなたの意見はどうですか。,sentence
287,帖,kanji
288,無人,word
289,パーセント,word
290,この組織は百パーセント寄付に頼っている。,sentence
291,庚,kanji
292,物語る,word
293,この話はアメリカに起こっていることについて多くを物語っている。,sentence
294,行い,word
295,そのような行ないはいかにもメグらしい。,sentence
296,忽,kanji
297,特急,word
298,最近、特急に乗りましたか。,sentence
299,灰,word
300,すべては燃えて灰となった。,sentence
301,怜,kanji
302,理屈,word
303,それは理屈に合わない。,sentence
304,乗り込む,word
305,もう乗り込む時間だ。,sentence
306,斧,kanji
307,生前,word
308,彼は生前は偉大な政治家であった。,sentence
309,はじめ,word
310,いいえ、はじめに９番におかけ下さい。,sentence
311,於,kanji
312,画期,word
313,画期的,word
314,伸びる,word
315,この道路は海岸まで伸びている。,sentence
316,昂,kanji
317,発作,word
318,ジョンのお父さんが心臓発作で亡くなったのを知っていますか。,sentence
319,立,sentence-component
320,この病院は市立です。,sentence
321,昊,kanji
322,発信,word
323,トムは電話に出る前にいつも発信元の電話番号を確認している。,sentence
324,解決策,word
325,この問題に対する解決策が全然思いつかない。,sentence
326,杭,kanji
327,発覚,word
328,新たな事実が発覚した。,sentence
329,ぶつかる,word
330,その車は壁にぶつかった。,sentence
331,杵,kanji
332,相続,word
333,そのあてもないのに、父親の財産相続を口にするとは、ボッブも根も葉もないことをいう人だ。,sentence
334,取り掛かる,word
335,あなたの仕事だけに取りかかって、私をじっと見るのをやめてください。,sentence
336,杷,kanji
337,相違,word
338,その相違は私にはそれほど重要でない。,sentence
339,意気,word
340,これ以上生意気言うとたたくぞ。,sentence
341,枇,kanji
342,県庁,word
343,ちら,sentence-component
344,お客たちは、チラッとその人の方をみるが、またすぐに話を始める。,sentence
345,欣,kanji
346,真理,word
347,しかし真理を行うものは、光の方に来る。,sentence
348,逆らう,word
349,あなたは私の言うことに逆らう勇気があるのか。,sentence
350,沫,kanji
351,確率,word
352,彼が回復する確率はあるにしても極めて少ない。,sentence
353,抱き締める,word
354,その女性は赤ちゃんを抱きしめた。,sentence
355,祇,kanji
356,祝日,word
357,「お父さん、今日は仕事に行かないの？お休み？」「あぁ、祝日だからな」,sentence
358,アイロン,word
359,あのシャツはアイロンがけが必要です。,sentence
360,穹,kanji
361,神様,word
362,ガールフレンド,word
363,ここにいるどの男の子にもみんなガールフレンドがいる。,sentence
364,竺,kanji
365,穏やか,word
366,ここの気候はイギリスの気候より穏やかです。,sentence
367,ボス,word
368,あなたがボスだよ。,sentence
369,肴,kanji
370,童話,word
371,あなたはこの童話を一人で書いたのですか。,sentence
372,ばったり,word
373,ばったり昔の友達に会った。,sentence
374,苑,kanji
375,簡易,word
376,簡易ベッドで寝てるんだ。,sentence
377,食前,word
378,スミス氏は朝食前に十分に運動する。,sentence
379,苔,kanji
380,粒,word
381,ご飯の一粒たりとも無駄にするな！,sentence
382,同僚,word
383,その事に関しては同僚と相談しなければなりません。,sentence
384,茄,kanji
385,系統,word
386,彼は系統立った調査を行うことにした。,sentence
387,ピーター,sentence-component
388,この家は、ピーターの家とだいたい同じくらい大きい。,sentence
389,茅,kanji
390,紙幣,word
391,彼はその貧しい女にパンとそのうえ５ドル紙幣をやった。,sentence
392,その後,word
393,その後どうしていますか。,sentence
394,茉,kanji
395,紫,word
396,このノートは紫じゃないです。,sentence
397,どのような,sentence-component
398,この規則はどのような場合にも適用できる。,sentence
399,迦,kanji
400,結核,word
401,付き,word
402,たとえ条件付きの妥協策だとしても、何も決めないよりはましだ。,sentence
403,迪,kanji
404,維新,word
405,彼は明治維新からとき起こした。,sentence
406,メッセージ,word
407,あなたからメッセージをもらえてとても嬉しいです。,sentence
408,亮,kanji
409,網,word
410,このコンピューター網は、いわば、会社の神経組織である。,sentence
411,見分ける,word
412,あなたは緑と青を見分けることができますか。,sentence
413,俐,kanji
414,線路,word
415,毎朝線路を横切る。,sentence
416,パパ,word
417,うちのパパね、ピザが大好きなの。,sentence
418,俠,kanji
419,繁殖,word
420,うさぎは繁殖が早い。,sentence
421,ファイル,word
422,「ファイル消せない」「これでどう？」,sentence
423,俣,kanji
424,翼,word
425,その鳥の翼は折れていた。,sentence
426,念,word
427,彼は、念のため、暗くなったら外には出ないと娘に約束させた。,sentence
428,巠,kanji
429,勁,kanji
430,聞き手,word
431,—,sentence-component
432,お前、本当に——心から、俺を愛しているかい。,sentence
433,哉,kanji
434,肩書き,word
435,会社での彼の正式な肩書きは社長補佐である。,sentence
436,肩書,word
437,村人,word
438,その村人たちはどんなに貧乏していても他人には親切だった。,sentence
439,奎,kanji
440,肯定,word
441,このような形を二重否定といいますが、結果として肯定を表すこととなります。,sentence
442,やがる,word
443,あいつは話の途中で電話を切りやがった。,sentence
444,姥,kanji
445,脂肪,word
446,どの辺に脂肪がついているの？,sentence
447,鳴く,word
448,あのかわいい鳥は来る日も来る日も鳴いてばかりいた。,sentence
449,姪,kanji
450,良好,word
451,それに比べ最近彼女のお天気は良好。,sentence
452,目立つ,word
453,いつもクラスの友人のあいだで目立ちたがる子供だった。,sentence
454,娃,kanji
455,花火,word
456,あそこなら花火が見やすいよ。,sentence
457,センス,word
458,あなたたち若い人はユーモアのセンスが全くない。,sentence
459,宥,kanji
460,苦悩,word
461,何で人生はこんなに苦悩でいっぱいなんだ？,sentence
462,小包み,word
463,お送りした小包、受け取りましたか。,sentence
464,廻,kanji
465,著名,word
466,その医者は子供の病気に関して著名な権威だ。,sentence
467,ワープロ,word
468,あなたに新しいワープロを買ってあげよう。,sentence
469,恢,kanji
470,薬品,word
471,この薬品は場合によって毒にも薬にもなる。,sentence
472,ヨット,word
473,このヨットほど速く走るヨットはない。,sentence
474,恰,kanji
475,血圧,word
476,どうして血圧が高いんだろう？,sentence
477,000,sentence-component
478,あの山の約３、０００メートルの高さです。,sentence
479,按,kanji
480,血管,word
481,血は血管の中を流れる。,sentence
482,ミーティング,word
483,いつものように、マイクは今日の午後ミーティングに遅れてきた。,sentence
484,昴,kanji
485,衆議,word
486,衆議院,word
487,象,word
488,ここには象が多い。,sentence
489,柊,kanji
490,表紙,word
491,トムはノートの表紙に名前を書きました。,sentence
492,尚更,word
493,メアリーはフランス語を読むことさえできない、フランス語を話すことはなおさらできない。,sentence
494,柏,kanji
495,補強,word
496,遣り遂げる,word
497,その仕事はあまりに難しいので、わたしはそれをやりとげることができない。,sentence
498,柑,kanji
499,製薬,word
500,兄は製薬工場で働こうと思っている。,sentence
501,寝坊,word
502,ごめん、寝坊したから30分遅れる。,sentence
503,柘,kanji
504,親族,word
505,私の親族は皆この町に住んでいる。,sentence
506,暮らし向き,word
507,お母さんは暮し向きが良い。,sentence
508,柚,kanji
509,記す,word
510,洗い,word
511,君はただ皿を洗いさえすればいい。,sentence
512,柾,kanji
513,語学,word
514,どんな語学も短期では無理だ。,sentence
515,仕事中,word
516,お母さんは仕事中だよ。,sentence
517,毘,kanji
518,誠意,word
519,あなたは彼女に対する誠意が足りない。,sentence
520,申し込む,word
521,どの仕事に申し込もうか、決めかねています。,sentence
522,洲,kanji
523,課程,word
524,しっかりと大学の課程を終えました。,sentence
525,ぶらぶら,word
526,ある日、私はぶらぶらと歩いて森の中に入っていった。,sentence
527,洵,kanji
528,講堂,word
529,その教師は講堂に学生を集めた。,sentence
530,試着,word
531,あれを試着してごらん。,sentence
532,洸,kanji
533,足跡,word
534,テーブルに猫の足跡が付いている。,sentence
535,早め,word
536,お客さんがいなかったから、早めに店を閉めました。,sentence
537,玲,kanji
538,身柄,word
539,サボる,word
540,「ボクは寝てないさ。いつもサボッてるだけ」「そっちのほうが質悪い！」,sentence
541,珀,kanji
542,辞典,word
543,トムは日中辞典を買った。,sentence
544,くたくた,word
545,くたくたで他に何もできないよ。,sentence
546,珂,kanji
547,送金,word
548,トムはメアリーに送金しました。,sentence
549,差し上げる,word
550,「何をさしあげましょうか」「いや、けっこう。ただ見て回っているだけだから」,sentence
551,珈,kanji
552,過労,word
553,あなたの頭痛は過労のせいだ。,sentence
554,諸国,word
555,世界は、特に先進諸国において、思考と行動を変える必要があります。,sentence
556,册,kanji
557,珊,kanji
558,配偶,word
559,配偶者,word
560,彼女は彼が貧しいときも彼を支えるすばらしい配偶者だった。,sentence
561,色んな,word
562,Tatoebaのおかげで、いろんな言語を知ってるんだ。,sentence
563,祐,kanji
564,野外,word
565,今日の野外はとても暑い。,sentence
566,テープ,word
567,このテープはよく付く。,sentence
568,祢,kanji
569,鉄骨,word
570,嘉,kanji
571,嘉,word-component
572,坡,kanji
573,坡,word-component
574,新加,word-component
575,シンガポール,word
576,この写真ではシンガポールはとても素敵なようだ。,sentence
577,竿,kanji
578,間近,word
579,「今何時？」「2時半」「まじか。今日は早く寝るつもりだったのに」,sentence
580,パイロット,word
581,トムはパイロットになりたがっている。,sentence
582,笈,kanji
583,降りる,word
584,意,word
585,あなたのご親切に対し深く感謝の意を表します。,sentence
586,籾,kanji
587,雀,kanji
588,雀,word
589,雀の涙ほどの給料では何の役にも立たない。,sentence
590,重要性,word
591,あなたはその問題の重要性を彼にはっきりとわからせなければならない。,sentence
592,胤,kanji
593,難航,word
594,内緒,word
595,いいか、いま見たことはママには内緒だぞ。,sentence
596,臥,kanji
597,面会,word
598,あなたに面会したいという婦人がいます。,sentence
599,モデル,word
600,このあたりでは彼女はモデルで通っていると聞いてびっくりした。,sentence
601,茜,kanji
602,風俗,word
603,この本はアメリカの風俗習慣についての本です。,sentence
604,横たわる,word
605,その人形は床に横たわっていた。,sentence
606,茸,kanji
607,食卓,word
608,あなたは食卓の用意をするのを手伝わなければいけない。,sentence
609,派,word
610,あなたは犬派？それとも猫派？,sentence
611,衿,kanji
612,高める,word
613,そのことを考えると精神が高められるような気持ちがします。,sentence
614,タイヤ,word
615,このタイヤには空気が十分入っていない。,sentence
616,郁,kanji
617,一等,word
618,器用,word
619,何がおきようと私はあなたの味方です。,sentence
620,俱,kanji
621,上流,word
622,この川の約１キロ上流に橋があります。,sentence
623,向こう側,word
624,その通りの向こう側にホテルがある。,sentence
625,倖,kanji
626,下着,word
627,トムは下着姿だった。,sentence
628,ジャケット,word
629,このジャケットが欲しいです。,sentence
630,倭,kanji
631,不自然,word
632,この文章はアメリカ人の私には不自然に感じます。,sentence
633,増す,word
634,こういうことがみな私たちの幸せを増すのに役立つ。,sentence
635,凌,kanji
636,並び,word
637,席を確保するには列に並びさえすればいい。,sentence
638,ためる,word-reading
639,もっとお金をためようと思うんだ。,sentence
640,哨,kanji
641,中古,word
642,なに、中古だよ。,sentence
643,ぬれる,word-reading
644,この種の靴は地面がぬれているとすべりやすい。,sentence
645,啄,kanji
646,中断,word
647,そのテレビ番組は特別ニュースのために中断された。,sentence
648,ハイキング,word
649,いい天気だったので、私達は昨日ハイキングに行った。,sentence
650,圃,kanji
651,中毒,word
652,インターネット中毒って、本当にあるみたいね。,sentence
653,蓄える,word
654,お金は物資を売買したり、価値を測ったり、富を蓄えたりするのに使われる。,sentence
655,套,kanji
656,中途,word
657,私たちは山の中途まで登った。,sentence
658,此の頃,word
659,このごろ、多くの人がコンピューターを使用している。,sentence
660,屑,kanji
661,乱用,word
662,王は権力を乱用した。,sentence
663,ブライアン,sentence-component
664,これはブライアンロックです。,sentence
665,峨,kanji
666,亀,word
667,トムは亀を２匹飼ってるんだ。,sentence
668,意思,word
669,あなたはフランス語で意思を伝えられますか。,sentence
670,峻,kanji
671,争う,word
672,そのレースで争った馬は４頭だけだった。,sentence
673,向け,word
674,いつも子供向けの本を書きたいと思ってた。,sentence
675,恕,kanji
676,交差,word
677,その棒は交差しておかれた。,sentence
678,交差点,word
679,あの交差点で何が起こったのか。,sentence
680,バナナ,word
681,あのバナナ、傷んでるよ。,sentence
682,悌,kanji
683,交際,word
684,3年間交際していた彼氏と先日別れました。,sentence
685,たっぷり,word
686,このプロジェクトにはたっぷり時間をかけましょう。,sentence
687,挺,kanji
688,交響,word
689,交響曲,word
690,プレーヤー,word
691,ああ、ＣＤプレイヤーですね。,sentence
692,挽,kanji
693,代議,word
694,代議士,word
695,彼は代議士に立候補しています。,sentence
696,典,word
697,甸,kanji
698,甸,word-component
699,拉げる,word
700,輸送中に箱が拉げて中身がとび出した。,sentence
701,丁,word
702,ラテン,word
703,晃,kanji
704,何ら,word
705,陥る,word
706,その事故で交通は大混乱に陥った。,sentence
707,晄,kanji
708,使節,word
709,政府は外国へ使節を派遣した。,sentence
710,並べる,word
711,おい、列に並べよ。,sentence
712,晋,kanji
713,便宜,word
714,便宜に関わらず自分の親の世話をするのは義務である。,sentence
715,辿り着く,word
716,そこにたどりついたときはもう開始の時刻になっているだろう。,sentence
717,晏,kanji
718,保育,word
719,保育所,word
720,横浜,word
721,これは東京・横浜間を走った最初の汽車の絵だ。,sentence
722,晟,kanji
723,信者,word
724,洗濯物,word
725,今日は洗濯物が山ほどある。,sentence
726,晦,kanji
727,修了,word
728,私は高校の全課程を修了した。,sentence
729,飽くまで,word
730,あくまでも個人の感想です。,sentence
731,柴,kanji
732,催し,word
733,今日の催しのチケットはありますか。,sentence
734,成田,sentence-component
735,あなたが成田に着陸するころまでには、暗くなっているのでしょう。,sentence
736,栖,kanji
737,優勢,word
738,その考えは今日なお優勢である。,sentence
739,曖昧,word
740,この文の意味は曖昧だ。,sentence
741,幵,kanji
742,栞,kanji
743,全集,word
744,私はシェークスピア全集を持っている。,sentence
745,贅,kanji
746,贅沢,word
747,うちの予算ではそういうぜいたくはできません。,sentence
748,桂,kanji
749,内科,word
750,内科はどこですか。,sentence
751,助かる,word
752,あなたが手伝ってくれれば私は本当に助かる。,sentence
753,桐,kanji
754,再度,word
755,ケンは再度試みる勇気がない。,sentence
756,髪型,word
757,この髪型にしてください。,sentence
758,桔,kanji
759,出品,word
760,トムが出品した絵は皆入賞した。,sentence
761,絶える,word
762,あなたは多くの困難に絶え抜かねばならない。,sentence
763,桧,kanji
764,出国,word
765,染みる,word
766,この歯に冷たいものがしみますか。,sentence
767,浩,kanji
768,出現,word
769,この世がいつ出現したのかわかってない。,sentence
770,等しい,word
771,あの会社との契約はあってなきに等しいものです。,sentence
772,浬,kanji
773,分散,word
774,免れる,word
775,その強盗は罰せられることを免れた。,sentence
776,烏,kanji
777,剣道,word
778,ついに剣道の呼吸をつかんだ。,sentence
779,すます,word-reading
780,きっと週末までに宿題をすますようにしなさい。,sentence
781,動揺,word
782,このニュースを聞いて非常に動揺した。,sentence
783,莫大,word
784,この絵には莫大な額のお金に相当する価値がある。,sentence
785,畠,kanji
786,募る,word
787,あなたへの愛はつのる。,sentence
788,熱中,word
789,この頃は彼女はテニスに熱中している。,sentence
790,矩,kanji
791,包囲,word
792,お前は包囲されている。,sentence
793,些細,word
794,あなたには些細な事に思えるかも知れませんが、私にとってそれは注意すべきことなのです。,sentence
795,砥,kanji
796,包装,word
797,これらの贈り物をいっしょに包装してください。,sentence
798,ピカソ,word
799,あなたはピカソが描いたその絵を見たことがありますか。,sentence
800,砧,kanji
801,卸売り,word
802,卸売り業者は取引から手を引こうとするかもしれません。,sentence
803,卸売,word
804,辞儀,word
805,この国の人々は会うとお辞儀することを習慣にしている。,sentence
806,秤,kanji
807,厳格,word
808,アリスは厳格な母を怖がっていた。,sentence
809,退ける,word
810,あなたの本をこのテーブルからどけて下さい。,sentence
811,秦,kanji
812,反動,word
813,顔付き,word
814,あなたはまるで幽霊でも見たような顔つきをしている。,sentence
815,穿,kanji
816,可決,word
817,「彼らはその法案を可決したの」「うん、とうとう通過させたんだ」,sentence
818,手荷物,word
819,この手荷物を別の場所に置いてもらえませんか。,sentence
820,紗,kanji
821,名所,word
822,ここの観光名所にはどんなところがありますか。,sentence
823,ジーンズ,word
824,このジーンズはきつすぎます。べつのサイズを試着できますか。,sentence
825,紘,kanji
826,告訴,word
827,お前を告訴するぞ。,sentence
828,レモン,word
829,あれはレモンの木だ。,sentence
830,狄,kanji
831,荻,kanji
832,善意,word
833,あなたの善意は身にしみました。,sentence
834,傾ける,word
835,あの頃親の言うことに耳を傾けていたらなあ。,sentence
836,莉,kanji
837,器具,word
838,その学校は最新の体育器具を備えている。,sentence
839,遣る気,word
840,いや、やる気はないな。,sentence
841,莞,kanji
842,四方,word
843,彼らは四方へ逃げた。,sentence
844,兄ちゃん,word
845,訊,kanji
846,回路,word
847,保護回路を飛ばしてしまおう。,sentence
848,とんでも,word
849,「ありがとう」「とんでもない。私の方こそ、ありがとう」,sentence
850,豹,kanji
851,国有,word
852,キャプテン,word
853,ここだけの話だが、ぼくはチームの新キャプテンは好きじゃない。,sentence
854,赳,kanji
855,国税,word
856,リーダー,word
857,あなたはリーダーとしての資格がない。,sentence
858,逗,kanji
859,土台,word
860,この家は土台がしっかりしている。,sentence
861,廛,kanji
862,纏,kanji
863,纏める,word
864,ある物事に対して、自分の意見をまとめるというのは、難しいことだと思います。,sentence
865,這,kanji
866,土産,word
867,これは友人への土産です。,sentence
868,進める,word
869,あなたが忙しいことはわかっていますが、プロジェクトを進めるために、私の最新のメールに対するあなたの返事が必要なのです。返事を書いていただけませんか。,sentence
870,釘,kanji
871,圧縮,word
872,24,sentence-component
873,お荷物は24時間以内にお届けします。,sentence
874,閃,kanji
875,執念,word
876,あいつは執念深いから気をつけた方がいいよ。,sentence
877,系,word
878,トムはドイツ系のアメリカ人です。,sentence
879,隼,kanji
880,堂々,word
881,その老人は堂々とした顔つきをしていた。,sentence
882,プラン,word
883,あなたのプランもいいけど、私の方がもっといいわ。,sentence
884,祐,kanji
885,固まり,word
886,巨大な肉の塊が当たった。,sentence
887,塊,word
888,さわる,word-reading
889,ああいう人は神経にさわる。,sentence
890,卷,kanji
891,倦,kanji
892,売春,word
893,売春宿で働くつもりです。,sentence
894,カーペット,word
895,「ペットはペットでもいつも床の上にいるペットはなーんだ？」「カーペット」,sentence
896,偲,kanji
897,外側,word
898,そのお城の外側は白く塗られていた。,sentence
899,投函,word
900,19時までに投函すれば、明日には届きますよ。,sentence
901,兜,kanji
902,大河,word
903,最中,word
904,ある日、私は猫と遊んでいる最中に、とうとうその耳を噛んでしまったのである。,sentence
905,凰,kanji
906,太鼓,word
907,太鼓の音が聞こえる。,sentence
908,すわる,word-reading
909,「トム。すわりなさい。」「わかりました。」,sentence
910,埴,kanji
911,好ましい,word
912,この映画は、子供に好ましくない影響を与えるかもしれない。,sentence
913,かぜ,word-reading
914,かぜが治らない。,sentence
915,堵,kanji
916,好感,word
917,彼は勤勉なのでいっそう好感が持てる。,sentence
918,混ぜる,word
919,コーヒーをフォークで混ぜたことってある？,sentence
920,娩,kanji
921,妥結,word
922,コンテスト,word
923,お父さんは料理コンテストに出て優勝したのよ。,sentence
924,崚,kanji
925,子孫,word
926,もし核戦争になったら、われわれの子孫はどうなるのでしょう。,sentence
927,わあ,word
928,「わぁ、あなたの兄弟は本当にハンサムね!」「それで何だ、俺のことはどうでもいいってか。」,sentence
929,わっ,word
930,その女の子は母親を見るやいなやわっと泣き出した。,sentence
931,庵,kanji
932,学力,word
933,ディナー,word
934,この間の晩は、ディナーに誘っていただきありがとうございました。,sentence
935,彗,kanji
936,安売り,word
937,私はこのセーターを安売りで買った。,sentence
938,バスケットボール,word
939,あなたは上手にバスケットボールができますか。,sentence
940,彪,kanji
941,定着,word
942,この習慣は日本人の間にすっかり定着した。,sentence
943,御辞儀,word
944,あそこにいる男の子が君におじぎをしているよ。,sentence
945,彬,kanji
